date,open_price,high_price,low_price,close_price,volume,symbol,daily_return,MA_7
2026-02-26,210.73,211.05,205.345,207.92,47756765,AMZN,-0.012913026965438612,207.45
2026-02-27,206.83,210.33,205.2,210.0,57422777,AMZN,0.010003847633705432,208.1942857142857
2026-03-02,204.55,209.73,203.46,208.39,46001010,AMZN,-0.0076666666666667105,208.69857142857146
2026-03-03,203.1,209.178,202.48,208.73,43184918,AMZN,0.0016315562167090736,208.50142857142856
2026-03-04,210.47,217.54,210.15,216.82,54731101,AMZN,0.03875820437886257,210.15142857142857
2026-03-05,215.98,220.47,215.59,218.94,60943447,AMZN,0.0097776957845217,211.6342857142857
2025-10-10,519.64,523.58,509.63,510.96,24133840,MSFT,,
2025-10-10,519.64,523.58,509.63,510.96,24133840,MSFT,0.0,
2025-10-13,516.41,516.41,511.68,514.05,14284238,MSFT,0.006047440112728841,
2025-10-13,516.41,516.41,511.68,514.05,14284238,MSFT,0.0,
2025-10-14,510.225,515.282,506.0,513.57,14684300,MSFT,-0.0009337613072656348,
2025-10-14,510.225,515.282,506.0,513.57,14684300,MSFT,0.0,
2025-10-15,514.955,517.19,510.0,513.43,14694654,MSFT,-0.00027260159277231466,512.9414285714286
2025-10-15,514.955,517.19,510.0,513.43,14694654,MSFT,0.0,513.2942857142857
2025-10-16,512.58,516.85,508.13,511.61,15559565,MSFT,-0.0035447870206258836,513.3871428571429
2025-10-16,512.58,516.85,508.13,511.61,15559565,MSFT,0.0,513.0385714285715
2025-10-17,509.04,515.48,507.31,513.58,19867765,MSFT,0.0038505893160807325,512.9714285714286
2025-10-17,509.04,515.48,507.31,513.58,19867765,MSFT,0.0,512.9728571428572
2025-10-20,514.61,518.7,513.43,516.79,14665620,MSFT,0.0062502433895399445,513.4328571428572
2025-10-20,514.61,518.7,513.43,516.79,14665620,MSFT,0.0,513.9128571428572
2025-10-21,517.5,518.69,513.04,517.66,15586204,MSFT,0.0016834691073743802,514.5171428571429
2025-10-21,517.5,518.69,513.04,517.66,15586204,MSFT,0.0,515.3814285714286
2025-10-22,521.15,525.23,517.71,520.54,18962694,MSFT,0.005563497276204421,516.6571428571428
2025-10-22,521.15,525.23,517.71,520.54,18962694,MSFT,0.0,517.6514285714285
2025-10-23,522.46,523.95,518.61,520.56,14023532,MSFT,3.842163906697671e-05,518.6485714285714
2025-10-23,522.46,523.95,518.61,520.56,14023532,MSFT,0.0,519.1871428571428
2025-10-24,522.79,525.345,520.71,523.61,15532360,MSFT,0.005859074842477385,520.1614285714285
2025-10-24,522.79,525.345,520.71,523.61,15532360,MSFT,0.0,521.0114285714286
2025-10-27,531.78,534.58,529.01,531.52,18734716,MSFT,0.015106663356314831,522.9914285714286
2025-10-27,531.78,534.58,529.01,531.52,18734716,MSFT,0.0,524.5600000000001
2025-10-28,550.0,553.72,540.77,542.07,29986683,MSFT,0.01984873570138479,527.6357142857142
2025-10-28,550.0,553.72,540.77,542.07,29986683,MSFT,0.0,530.7085714285714
2025-10-29,544.94,546.27,536.7287,541.55,36023004,MSFT,-0.0009592857011089251,533.7071428571429
2025-10-29,544.94,546.27,536.7287,541.55,36023004,MSFT,0.0,536.27
2025-10-30,530.48,534.97,522.12,525.76,41023088,MSFT,-0.02915704921059914,536.5771428571428
2025-10-30,530.48,534.97,522.12,525.76,41023088,MSFT,0.0,535.7542857142856
2025-10-31,528.875,529.32,515.1,517.81,34006424,MSFT,-0.01512096774193561,533.7957142857142
2025-10-31,528.875,529.32,515.1,517.81,34006424,MSFT,0.0,530.33
2025-11-03,519.805,524.96,514.59,517.03,22374742,MSFT,-0.0015063440258009653,526.7528571428571
